GLACIER,R,RMSE,MAE,Bias
G1,0.849714184643298,0.30083486963782813,0.1586452057827684,0.13406063968943777
G2,0.7499391332428011,0.3012101709965306,0.14715341564233744,0.0813225546791844
G3,0.5935378505077253,0.7330232732714048,0.5595723146310458,-0.5592663136225863
