,R,RMSE,MAE,Bias,STD_real,STD_pred
mean,0.789893433822446,0.419493869570684,0.304083371497469,-0.13644439451113166,0.47010957832032746,0.4278910160064697
std,0.16807780806917727,0.24406853046094235,0.23652326445109015,0.3864944355131389,0.09339167875411591,0.07895708829164505
