GLACIER,R,RMSE,MAE,Bias
G1,0.8296745005118835,37.55777868201014,23.974549317915027,-23.468077841129315
G2,0.8166960171016822,32.1662954942981,16.748953882245083,-13.64052431587104
G3,0.7203474080234316,33.53873486499339,25.752232778472393,24.094080661189423
